السنة,الربع,المنطقة,النشاط الاقتصادي,حجم المنشأة,عدد المنشآت,عدد العاملين السعوديين,عدد السعوديين (ذكور),عدد السعوديات (إناث),عدد العاملين الأجانب,عدد الأجانب (ذكور),عدد الأجنبيات (إناث)
2023,1,المنطقة الشرقية,الصرف الصحي,متوسطة,4,55,27,28,310,306,4
2023,1,المنطقة الشرقية,الصحة البشرية,صغيرة,341,2625,609,2016,4546,2218,2328
2023,1,المنطقة الشرقية,الصحة البشرية,كبيرة,32,9501,3385,6116,15010,6688,8322
2023,1,المنطقة الشرقية,الصحة البشرية,متناهية الصغر,206,218,65,153,340,238,102
2023,1,المنطقة الشرقية,الصحة البشرية,متوسطة,108,4293,1067,3226,7112,3842,3270
2023,1,المنطقة الشرقية,الرعاية مع الإقامة,صغيرة,14,216,12,204,80,39,41
2023,1,المنطقة الشرقية,الرعاية مع الإقامة,متناهية الصغر,2,5,0,5,0,0,0
2023,1,المنطقة الشرقية,الرعاية مع الإقامة,متوسطة,1,53,12,41,77,55,22
2023,1,المنطقة الشرقية,الحراجة وقطع الأخشاب,متناهية الصغر,4,3,3,0,11,11,0
2023,1,المنطقة الشرقية,التعليم,صغيرة,304,3867,1013,2854,2237,1963,274
2023,1,المنطقة الشرقية,التعليم,كبيرة,14,4359,1931,2428,1222,1057,165
2023,1,المنطقة الشرقية,التعليم,متناهية الصغر,371,388,153,235,490,442,48
2023,1,المنطقة الشرقية,التعليم,متوسطة,95,5702,1795,3907,4338,3576,762
2023,1,المنطقة الشرقية,التخزين وأنشطة الدعم للنقل,صغيرة,346,1703,1204,499,3613,3600,13
2023,1,المنطقة الشرقية,التخزين وأنشطة الدعم للنقل,كبيرة,13,3883,3251,632,6135,6082,53
2023,1,المنطقة الشرقية,التخزين وأنشطة الدعم للنقل,متناهية الصغر,733,515,388,127,1278,1274,4
2023,1,المنطقة الشرقية,التخزين وأنشطة الدعم للنقل,متوسطة,58,2039,1539,500,2916,2903,13
2023,1,المنطقة الشرقية,البحث والتطوير في المجال العلمي,صغيرة,6,56,40,16,27,25,2
2023,1,المنطقة الشرقية,البحث والتطوير في المجال العلمي,متناهية الصغر,18,23,11,12,25,25,0
2023,1,المنطقة الشرقية,البحث والتطوير في المجال العلمي,متوسطة,2,133,79,54,137,131,6
2023,1,المنطقة الشرقية,الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,صغيرة,1,0,0,0,12,12,0
2023,1,المنطقة الشرقية,الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,متناهية الصغر,2,0,0,0,2,2,0
2023,1,المنطقة الشرقية,الأنشطة المهنية والعلمية والتقنية الأخرى,صغيرة,34,201,91,110,255,224,31
2023,1,المنطقة الشرقية,الأنشطة المهنية والعلمية والتقنية الأخرى,كبيرة,1,229,193,36,317,315,2
2023,1,المنطقة الشرقية,الأنشطة المهنية والعلمية والتقنية الأخرى,متناهية الصغر,229,167,64,103,344,297,47
2023,1,المنطقة الشرقية,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,صغيرة,31,372,205,167,150,147,3
2023,1,المنطقة الشرقية,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,كبيرة,1,254,98,156,111,106,5
2023,1,المنطقة الشرقية,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متناهية الصغر,40,57,40,17,45,42,3
2023,1,المنطقة الشرقية,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متوسطة,5,345,182,163,87,79,8
2023,1,المنطقة الشرقية,الأنشطة القانونية وأنشطة المحاسبة,صغيرة,126,868,534,334,541,529,12
2023,1,المنطقة الشرقية,الأنشطة القانونية وأنشطة المحاسبة,متناهية الصغر,301,440,269,171,281,272,9
2023,1,المنطقة الشرقية,الأنشطة القانونية وأنشطة المحاسبة,متوسطة,9,443,265,178,294,288,6
2023,1,المنطقة الشرقية,الأنشطة العقارية,صغيرة,217,1289,759,530,1652,1630,22
2023,1,المنطقة الشرقية,الأنشطة العقارية,كبيرة,2,156,56,100,607,607,0
2023,1,المنطقة الشرقية,الأنشطة العقارية,متناهية الصغر,732,522,313,209,1070,1059,11
2023,1,المنطقة الشرقية,الأنشطة العقارية,متوسطة,18,1060,702,358,968,949,19
2023,1,المنطقة الشرقية,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,145,579,232,347,1221,1023,198
2023,1,المنطقة الشرقية,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,319,265,88,177,478,429,49
2023,1,المنطقة الشرقية,الأنشطة الرياضية وأنشطة التسلية والترفيه,متوسطة,8,282,99,183,436,425,11
2023,1,المنطقة الشرقية,الأنشطة البيطرية,صغيرة,13,65,25,40,137,129,8
2023,1,المنطقة الشرقية,الأنشطة البيطرية,متناهية الصغر,50,30,15,15,84,77,7
2023,1,المنطقة الشرقية,الأنشطة الإيجارية,صغيرة,321,1097,704,393,3557,3545,12
2023,1,المنطقة الشرقية,الأنشطة الإيجارية,كبيرة,10,1204,794,410,2867,2864,3
2023,1,المنطقة الشرقية,الأنشطة الإيجارية,متناهية الصغر,1964,424,226,198,4123,4108,15
2023,1,المنطقة الشرقية,الأنشطة الإيجارية,متوسطة,39,890,651,239,2935,2929,6
2023,1,المنطقة الشرقية,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,صغيرة,136,766,367,399,1077,1049,28
2023,1,المنطقة الشرقية,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,كبيرة,2,659,501,158,803,803,0
2023,1,المنطقة الشرقية,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,متناهية الصغر,788,416,186,230,1353,1320,33
2023,1,المنطقة الشرقية,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,متوسطة,14,707,512,195,963,948,15
2023,1,المنطقة الشرقية,الأنشطة الأخرى للتعدين واستغلال المحاجر,صغيرة,56,188,105,83,829,828,1
2023,1,المنطقة الشرقية,الأنشطة الأخرى للتعدين واستغلال المحاجر,كبيرة,3,1030,946,84,2199,2199,0
2023,1,المنطقة الشرقية,الأنشطة الأخرى للتعدين واستغلال المحاجر,متناهية الصغر,96,71,46,25,172,171,1
2023,1,المنطقة الشرقية,الأنشطة الأخرى للتعدين واستغلال المحاجر,متوسطة,11,346,224,122,683,680,3
2023,1,المنطقة الشرقية,الأنشطة الإبداعية والفنون وأنشطة الترفيه,صغيرة,2,9,5,4,17,17,0
2023,1,المنطقة الشرقية,الأنشطة الإبداعية والفنون وأنشطة الترفيه,متناهية الصغر,30,21,6,15,43,38,5
2023,1,المنطقة الشرقية,الإقامة,صغيرة,270,1327,711,616,2507,2486,21
2023,1,المنطقة الشرقية,الإقامة,كبيرة,1,95,68,27,168,168,0
2023,1,المنطقة الشرقية,الإقامة,متناهية الصغر,324,268,137,131,595,583,12
2023,1,المنطقة الشرقية,الإقامة,متوسطة,35,1285,722,563,1961,1886,75
2023,1,المنطقة الشرقية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,صغيرة,17,237,172,65,137,133,4
2023,1,المنطقة الشرقية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,كبيرة,2,801,639,162,220,216,4
2023,1,المنطقة الشرقية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,82,47,26,21,115,115,0
2023,1,المنطقة الشرقية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متوسطة,1,30,29,1,34,34,0
2023,1,المنطقة الشرقية,الاتصالات,صغيرة,27,201,142,59,245,240,5
2023,1,المنطقة الشرقية,الاتصالات,متناهية الصغر,98,61,35,26,157,155,2
2023,1,المنطقة الشرقية,الاتصالات,متوسطة,2,91,84,7,50,50,0
2023,1,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,صغيرة,308,1159,787,372,3379,3372,7
2023,1,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,كبيرة,18,3090,2456,634,7467,7452,15
2023,1,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,918,333,178,155,1997,1994,3
2023,1,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,متوسطة,70,2379,1709,670,4905,4899,6
2023,1,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,94,159,99,60,895,875,20
2023,1,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,كبيرة,3,88,6,82,893,893,0
2023,1,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,901,178,106,72,1930,1926,4
2023,1,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,13,374,305,69,1099,1099,0
2023,1,المنطقة الشرقية,استخراج النفط الخام والغاز الطبيعي,صغيرة,16,121,97,24,221,221,0
2023,1,المنطقة الشرقية,استخراج النفط الخام والغاز الطبيعي,كبيرة,6,66311,62386,3925,7500,6872,628
2023,1,المنطقة الشرقية,استخراج النفط الخام والغاز الطبيعي,متناهية الصغر,31,29,17,12,47,46,1
2023,1,المنطقة الشرقية,استخراج النفط الخام والغاز الطبيعي,متوسطة,10,668,615,53,620,615,5
2023,1,المنطقة الشرقية,أبحاث الإعلان والسوق,صغيرة,214,1006,423,583,1614,1589,25
2023,1,المنطقة الشرقية,أبحاث الإعلان والسوق,كبيرة,3,583,524,59,714,711,3
2023,1,المنطقة الشرقية,أبحاث الإعلان والسوق,متناهية الصغر,689,393,140,253,1294,1271,23
2023,1,المنطقة الشرقية,أبحاث الإعلان والسوق,متوسطة,7,392,101,291,324,319,5
2023,1,المنطقة الشرقية,غير معرف,صغيرة,215,452,234,218,1842,1763,79
2023,1,المنطقة الشرقية,غير معرف,كبيرة,1,0,0,0,308,244,64
2023,1,المنطقة الشرقية,غير معرف,متناهية الصغر,6550,1144,587,557,11560,11469,91
2023,1,المنطقة الشرقية,غير معرف,متوسطة,2,14,9,5,202,202,0
